name,type,seed_time,plant_date,spacing,harvest,,harvest,,yield
Plant,Plant Distance,,Planting Month,,Planting Month,,Harvest,Runway,
Beetroot,10,1,9,10,9,2,11,9,
Brussel Sprouts,Vege,2,1,,1,4,5,4,
Cauliflower,,3,1,,1,4,5,5,
Celery,,6,4,,4,0,4,7,
Melon,,3,11,,11,1,12,2,
Oak Lettuce,,1,12,,12,4,3,8,
Romaine Lettuce,,5,7,,7,3,10,6,
Leek,,,,,,0,,,
Onion,,,,,,0,,,
Spinach,,,,,,0,,,
Artichoke,,3,9,,9,9,6,3,
Basil,,1,9,,9,3,12,4,
Cabbage,,1,9,,9,7,4,5,
Cucumber,,2,10,,10,2,12,4,
Eggplant,,1,9,,9,3,12,4,
Pepper,,1,10,,10,2,12,4,
Pumpkin,,2,9,,9,7,4,2,
Tomato,,1,9,,9,3,12,4,
Watermelon,,2,9,,9,3,12,5,
Zucchini,,1,10,,10,1,11,6,
Chard,,1,8,,8,4,12,5,
Broccoli,,1,2,,2,2,4,3,
Strawberry,Fruit,,,,,,,,
Basil,Herb,,,,,,,,
Lavender,Flower,,,,,,,,
